,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification Group,Previous qualification (grade),Nacionality,Nationality Group,Mother's qualification,Mother's qualification Group,Father's qualification,Father's qualification Group,Mother's occupation,Mother's occupation Group,Father's occupation,Father's occupation Group,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Marital Status,1.0,0.26400581501700193,-0.1258544523109675,0.046365184765836745,-0.2749391548863507,0.06252890030172063,0.02168766202226991,-0.02240641661280485,-0.008843025427036232,-0.027842720739312127,0.19316342856136487,0.1461719069487451,0.13035320857758342,0.10597745236591886,0.03499411015963716,0.13232171192536624,0.03160903625425886,0.0836818891801139,-0.0047709316549481955,-0.2348855380245832,-0.02834332882457072,0.03430358168090552,-0.08715840024477993,-0.01473802800771993,-0.05376535787021899,0.5227171684130265,-0.02790493478597115,0.06120935310800539,0.052107318904339284,0.05803029434242169,-0.03102652954278237,-0.05981064330169998,0.034710608176647235,0.06283101531850402,0.03902605261691445,0.02278437513773313,-0.04373857172210002,-0.07150558342514239,0.02042558893626269,-0.020337568196093912,0.008761345227354663,-0.02700340540765251
Application mode,0.26400581501700193,1.0,-0.2863572642768653,0.0653848240907441,-0.30409195891301427,0.42241089212088045,-0.07170837390628584,-0.039019875921273435,-0.000661354168827419,0.002601280174440566,0.11897440888691024,0.08214170906652685,0.08327555796886787,0.04215561861789957,0.05159971767411826,0.07599012110434544,0.03670672157294657,0.02688612482857825,-0.013270570317131334,-0.3011971664094033,-0.03077942004150877,0.12281788722577065,-0.13626213248098537,0.16012976016912664,-0.16311656499851754,0.5162427253595344,0.003437719580345377,0.24742606131538103,0.16429855857686812,0.22593765669932497,-0.029054601018558737,-0.11774138967860934,0.0458277252325036,0.2384454568367775,0.13004609437319067,0.16787206649230685,-0.07152591533786491,-0.11542406975005273,0.0479828915852015,0.08908007982496839,-0.016374634645172408,-0.022742716589706585
Application order,-0.1258544523109675,-0.2863572642768653,1.0,0.059506738151476335,0.1586571559664682,-0.1843154789138394,0.1099519828756915,-0.06448352658636766,-0.022416283224134272,-0.028245433427080736,-0.0649555237334365,-0.032609242960869506,-0.05028769940263632,-0.007676034502143324,-0.03903931941417863,-0.04185503889573126,-0.030013944843782395,-0.022460636970902614,-0.09693047580319451,0.3323617548104861,0.025597106042180285,-0.0721510312356354,0.05589072170653852,-0.08955904327353448,0.07370924923057666,-0.27115444124886157,-0.028801490428350854,-0.1333537242198571,-0.016807713169654064,-0.09215560983213944,0.03558037532090577,0.058308438803627884,-0.03169885286107031,-0.12581538359243863,0.028878257685911353,-0.05508861133085124,0.07179313285936866,0.05551666106383311,-0.015757360878024526,-0.09841916664377497,-0.011133212005957563,0.030200823981583837
Course,0.046365184765836745,0.0653848240907441,0.059506738151476335,1.0,-0.043151140764031086,0.00665362987208293,-0.009985762671091929,-0.08101299386042125,-0.0339227545645087,-0.020258932724910434,0.054542635918904535,0.06917080905160418,0.05072447495149714,0.07866583613724505,0.03126490420183978,0.048915820282544674,0.02888067815501321,0.052640318439531125,-0.12505756539088853,-0.08739922173036156,-0.018794625065631013,-0.032672672159789355,0.018381190529381065,-0.09957078610326973,0.01713781096234859,0.042993692292094925,-0.026736746453156043,-0.09633472406666062,0.3284607509847846,0.2728448393190916,0.18049980942050925,0.38934939749371245,0.03451372905592148,-0.08981670765419743,0.40153948277423795,0.27879703893556085,0.1980315958934514,0.3487284947219522,0.030816488032590336,0.007153477096402814,0.01771012897974121,-0.0202646131499894
Daytime/evening attendance,-0.2749391548863507,-0.30409195891301427,0.1586571559664682,-0.043151140764031086,1.0,-0.07187059922721713,0.0557249882974999,0.05259722840683402,0.018529937505982422,0.025976510111545035,-0.20476689841353493,-0.16288848111006013,-0.13989449546126034,-0.11747530830808396,-0.019067019536736823,-0.1415884252926139,-0.015477032618295675,-0.08263270788020467,0.007970271624412257,0.2517674392299713,0.031016530373151743,0.006658312566711278,0.03879915467330761,-0.012325755116616455,0.09391203221918333,-0.4622802478853898,0.027973048907386347,-0.12746560112364294,-0.04305623214899582,-0.04588922855802258,0.016934978565683018,0.06397387192522577,0.045629765150007065,-0.11195279895468567,0.0003713660797386305,0.014609920230203877,0.03402170026593678,0.05049325259338546,-0.004228658196806576,0.06197432356687531,-0.02404330775396638,0.02292919944105355
Previous qualification,0.06252890030172063,0.42241089212088045,-0.1843154789138394,0.00665362987208293,-0.07187059922721713,1.0,-0.3818174520656643,0.1040722137449169,-0.02921360531671603,-0.03288578404785161,-0.013190489756120829,-0.03015077627715383,-0.006614090572547052,-0.021904904378680968,0.014821690807370187,-0.02790545546322494,0.016262796971310632,-0.012268997385580257,0.18418295947970298,-0.11518793049667517,-0.010460778352738518,0.09510393034911022,-0.06845312023524772,0.07868440288549343,-0.07051285849572711,0.15623420407748367,-0.026225787255179087,0.16602453164939815,0.07870160318172707,0.13059693399632727,0.02202028952153494,-0.0004966660692520965,0.00288747775513904,0.1430310918061021,0.056178669477968735,0.11484995797509416,-0.008631778569250362,0.0009418815374891838,0.0051022699611429235,0.11195809085741577,-0.06373591485749655,0.0640693505515313
Previous qualification Group,0.02168766202226991,-0.07170837390628584,0.1099519828756915,-0.009985762671091929,0.0557249882974999,-0.3818174520656643,1.0,-0.05956378592090195,0.029189767856292594,0.025959682387122512,0.05268102235853432,0.07148332688873044,0.02791564816008052,0.057280786015033176,-0.0019330002308437203,0.05309645096187772,-0.0025202703018875634,0.021421589592212315,-0.21545402739933342,0.06772271405410285,0.016215955808175468,0.03188116707917054,0.009673849922611324,0.020264463965272875,0.08741325627354432,-0.0606847933861984,0.019351358183828375,-0.2393143616146042,-0.14330907405922907,-0.09711770024381698,-0.09996882418548143,-0.02634108915832782,-0.0474480193149693,-0.22458578426391598,-0.12123036968703364,-0.08232688993246086,-0.07386046880093709,-0.03163983992431497,-0.030087088153878797,-0.0560329116080745,0.0071420846632675615,-0.011700405115765077
Previous qualification (grade),-0.02240641661280485,-0.039019875921273435,-0.06448352658636766,-0.08101299386042125,0.05259722840683402,0.1040722137449169,-0.05956378592090195,1.0,0.05408839001479954,0.04096023009585281,-0.0606701010501484,-0.06777311539943306,-0.0352342196320924,-0.07068184375865215,-0.011414836054405977,-0.053060685717590976,-0.019283907590802347,-0.04767987496616179,0.5804441978785279,-0.011001447536083066,-0.0014578822923876542,-0.037506764440662387,0.06057800233977736,-0.047873559114221864,0.05596547806062643,-0.11137694708499359,0.04852877898643048,-0.00887204153606457,-0.029169335152124564,-0.07070239069617822,0.04841006704467333,0.05943750529132413,-0.0039257179604588735,-0.018488648622672306,-0.0316491602334601,-0.06135531294287914,0.05026255427693543,0.053238974148829984,-0.01901455423304376,0.04522226843669443,0.0187103760100449,-0.05262040370010443
Nacionality,-0.008843025427036232,-0.000661354168827419,-0.022416283224134272,-0.0339227545645087,0.018529937505982422,-0.02921360531671603,0.029189767856292594,0.05408839001479954,1.0,0.6736756579568537,-0.04994598307641591,-0.05659810986110542,-0.0852822265293258,-0.08828557555411379,0.0431873333643234,0.0073123245270171385,0.02062617727932397,-0.005049945926514087,0.02817584593932708,-0.007447588858302415,-0.005982415388232573,0.051988956042750854,-0.026114694157766724,-0.023257928636227183,-0.010489963331258779,-0.0036467440507631163,0.7909349101784291,-0.00036978328624816666,-0.013291980892935821,-0.007763392537482597,-0.0022677320137882923,0.000869488139595787,0.009145023444750993,-0.007278102618135318,-0.02011312348413203,-0.0257205528590908,-0.017879715999567117,-0.008497102925080813,-0.014040609648219534,-0.000650509601161755,-0.00892172823025612,0.034478006009970405
Nationality Group,-0.027842720739312127,0.002601280174440566,-0.028245433427080736,-0.020258932724910434,0.025976510111545035,-0.03288578404785161,0.025959682387122512,0.04096023009585281,0.6736756579568537,1.0,-0.021326891715366194,-0.035875942891173324,-0.05849082208976323,-0.06146399225710965,0.028807533347682966,-0.0003613286152702209,0.011441235780252385,0.002519038891466705,0.029497718019670927,-0.005368215686473416,0.005946019881014355,0.0773448491370825,-0.051531578878779634,-0.02000844550981685,-0.030424629122842866,-0.015539368347278959,0.8399874347433504,0.01186075952233414,0.008671528883043018,0.026153517560987456,0.007432893718050638,0.0027841398098405047,0.05141169227371914,0.010434937088920676,-0.002261531270809862,-0.0013218007713869586,-0.003293449033781659,-0.002064790054865563,-0.003601168904565711,-0.009737975141425853,-0.015773159705141076,0.028108421643334824
