Marital Status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification Group;Previous qualification (grade);Nationality Group;Mother's qualification Group;Father's qualification Group;Mother's occupation Group;Father's occupation Group;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 1st sem (Approved/Enrolled);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Curricular units 2nd sem (Approved/Enrolled);Unemployment rate;Inflation rate;GDP;Target
1;18;-1.7316968666316976;9238;1;-3.0781385481239893;-10.114337037264518;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.9617328231181288;-1.954178909329264;-8.836345441065506;1;0;0;1;0;0;-3.1253769784824064;0;-0.4236151106854453;-3.2399677443300408;-2.1308463850552557;-2.098944205686818;-2.452860060602798;-0.4943525490553087;-6.834111792300622;-0.4303917461617935;-3.8827037599115646;-1.8819111259239487;-1.9010122633577784;-2.1616667107190715;-0.4688016815309918;-4.50043034403363;-4.447532520937188;-0.7997562391364795;0.3512909567534956;Enrolled
1;1;-1.7316968666316976;9853;1;-3.0781385481239893;-10.096728667434972;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.65563125162115;-1.954178909329264;-8.899521157293801;1;0;0;1;0;0;-3.1253769784824064;0;-0.4236151106854453;-3.0069866396345164;-2.331654701367978;-1.5174797214083948;-2.4698486513205204;-0.4943525490553087;-0.995821185172978;-0.4303917461617935;-3.5474598174656107;-2.346663410845464;-1.416696693025454;-2.057058754941256;-0.4688016815309918;-0.6020048096789214;-3.68973600827532;-1.3730189370110195;-0.1690195646558445;Enrolled
1;18;-0.0257028619441269;9556;1;-3.0781385481239893;-10.173031603363002;-0.4478770895114957;-2.8519141796797496;-1.5940928228489972;-2.2678343946151074;-1.954178909329264;-8.913340845218741;1;0;0;1;0;0;-3.091808345807256;0;-0.4236151106854453;-3.0069866396345164;-1.8631019633049577;-1.4011868245527102;-2.481528307725638;-0.4943525490553087;0.2121010094051557;-0.4303917461617935;-3.212215875019657;-2.2692046966918777;-1.1745389078592914;-2.1438833582368426;-0.4688016815309918;0.4612021542359994;-4.180900414630234;0.3988839473284681;-0.3215918228134705;Enrolled
1;1;-1.7316968666316976;9238;1;-3.0781385481239893;-10.032164644726638;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.615168767316573;-8.739607625590928;1;0;1;1;0;1;-3.1253769784824064;0;-0.4236151106854453;-3.2399677443300408;-2.264718595930404;-1.6337726182640795;-2.4732463696679283;-0.4943525490553087;-1.1971415509359995;-0.4303917461617935;-3.8827037599115646;-2.0368285542311204;-1.658854478191616;-2.1616667107190715;-0.4688016815309918;-2.019614094898816;-4.896597121033111;-0.1743787505460719;0.0735312047229456;Enrolled
1;1;-1.7316968666316976;9085;1;-3.0781385481239893;-10.10846758065467;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-2.573935966112086;-2.971209335367337;-8.867933299179654;1;0;0;1;0;0;-3.1253769784824064;0;-0.4236151106854453;-3.472948849025565;-2.1977824904928296;-1.6337726182640795;-2.418882878657694;3.4756540847459183;0.2121010094051557;-0.4303917461617935;-4.217947702357519;-2.424122124999049;-1.658854478191616;-2.077980346096819;-0.4688016815309918;-1.027287595244889;-4.643998283479154;-1.94628163488556;-0.5993515748440206;Enrolled
1;17;-1.1630321984025074;9500;1;-3.0781385481239893;-10.173031603363002;-0.4478770895114957;-4.566269258157115;-5.808301513046543;-2.880037537609065;-1.2761586253038824;-8.928147653709749;1;0;0;1;1;0;-3.1085926621448308;0;-0.4236151106854453;-3.0069866396345164;-2.1977824904928296;-1.5174797214083948;-2.405292006287379;-0.4943525490553087;-0.995821185172978;-0.4303917461617935;-3.5474598174656107;-2.424122124999049;-1.416696693025454;-2.0479927319677014;-0.4688016815309918;-0.6020048096789214;-3.68973600827532;-1.3730189370110195;-0.1690195646558445;Enrolled
1;44;-1.7316968666316976;9003;1;-6.54278189566412;-10.038034101336487;-0.4478770895114957;-4.566269258157115;-5.808301513046543;-2.2678343946151074;-3.310219477380027;-8.774156845403278;0;0;0;1;1;0;-3.07502402946968;0;-0.4236151106854453;-3.2399677443300408;-1.7961658578673834;-1.6337726182640795;-2.4601408851232995;-0.4943525490553087;-1.1971415509359995;-0.4303917461617935;-3.8827037599115646;-1.649534983463192;-1.537775585608535;-2.179599503197901;-0.4688016815309918;-0.7792059703314076;-3.68973600827532;-1.3730189370110195;-0.1690195646558445;Enrolled
1;1;-1.7316968666316976;9147;1;-3.0781385481239893;-10.079120297605428;-0.4478770895114957;-2.8519141796797496;-3.701197167947771;-2.2678343946151074;-1.954178909329264;-8.829435597103036;0;0;0;0;1;0;-3.1253769784824064;0;-0.4236151106854453;-3.472948849025565;-2.1977824904928296;-1.866358411975449;-2.4868372425479013;-0.4943525490553087;-3.170081135413618;-0.4303917461617935;-4.217947702357519;-2.346663410845464;-1.9010122633577784;-2.057058754941256;-0.4688016815309918;-4.004267094206667;-4.714164627244141;-0.7997562391364795;0.6975126194958008;Enrolled
1;17;-1.7316968666316976;9991;0;-3.0781385481239893;-10.014556274897092;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-2.2678343946151074;-2.2931890513419546;-8.852632930405614;0;0;0;1;0;0;-3.024671080456953;0;-0.4236151106854453;-3.472948849025565;-2.1977824904928296;-1.982651308831134;-2.478342946934211;-0.4943525490553087;-4.861172207823003;-0.4303917461617935;-4.217947702357519;-2.1142872683847065;-1.7799333707746974;-2.0221894364881283;1.2001389291104665;-2.515777344725778;-4.896597121033111;-0.1743787505460719;0.0735312047229456;Enrolled
1;1;-1.7316968666316976;9500;1;-3.0781385481239893;-10.10259812404482;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.65563125162115;-1.954178909329264;-8.91580864663391;1;0;0;1;0;1;-3.1085926621448308;0;-0.4236151106854453;-2.774005534938992;-2.1308463850552557;-1.5174797214083948;-2.461354356216488;-0.4943525490553087;-1.9017628311065773;-0.4303917461617935;-3.212215875019657;-2.191745982538292;-1.416696693025454;-2.126797392265944;-0.4688016815309918;-1.3994100326151115;-4.643998283479154;-1.94628163488556;-0.5993515748440206;Enrolled
